Reinhard Wilhelm	books/crc/CRCcompiler2002/WilhelmRS02
Thomas W. Reps	books/crc/CRCcompiler2002/WilhelmRS02
Shmuel Sagiv	books/crc/CRCcompiler2002/WilhelmRS02
Jakob Axelsson	books/crc/IIR2005/AxelssonFHNSV05
Joakim Fröberg	books/crc/IIR2005/AxelssonFHNSV05
Hans Hansson	books/crc/IIR2005/AxelssonFHNSV05
Christer Norström	books/crc/IIR2005/AxelssonFHNSV05
Kristian Sandström	books/crc/IIR2005/AxelssonFHNSV05
Björn Villing	books/crc/IIR2005/AxelssonFHNSV05
Dietmar Loy	books/crc/IIR2005/Loy05
Marcos Ribeiro Pereira Barretto	books/crc/IIR2005/BarrettoBP05
Paulo Marcelo Porto Alves Blanco	books/crc/IIR2005/BarrettoBP05
Marco Antonio Poli	books/crc/IIR2005/BarrettoBP05
Paulo Pedreiras	books/crc/IIR2005/PedreirasAF05
Luís Almeida	books/crc/IIR2005/PedreirasAF05
José Alberto Fonseca	books/crc/IIR2005/PedreirasAF05
Marcos Ribeiro Pereira Barretto	books/crc/IIR2005/BarrettoBP05a
Paulo Marcelo Porto Alves Blanco	books/crc/IIR2005/BarrettoBP05a
Marco Antonio Poli	books/crc/IIR2005/BarrettoBP05a
Walter T. Penzhorn	books/crc/IIR2005/PenzhornA05
Johann Amsenga	books/crc/IIR2005/PenzhornA05
Lucia Lo Bello	books/crc/IIR2005/BelloP05
Enzo Palumbo	books/crc/IIR2005/BelloP05
Jörn Peschke	books/crc/IIR2005/PeschkeL05
Arndt Lüder	books/crc/IIR2005/PeschkeL05
Ivan Cibrario Bertolotti	books/crc/IIR2005/Bertolotti05
Andreas Polze	books/crc/IIR2005/Polze05
Davide Bertozzi	books/crc/IIR2005/BertozziBM05
Luca Benini	books/crc/IIR2005/BertozziBM05
Giovanni De Micheli	books/crc/IIR2005/BertozziBM05
Manfred Popp	books/crc/IIR2005/PoppFB05
Joachim Feld	books/crc/IIR2005/PoppFB05
Ralph Büsgen	books/crc/IIR2005/PoppFB05
Carsten Beuthel	books/crc/IIR2005/BeuthelGT05
Paul George	books/crc/IIR2005/BeuthelGT05
Ulrich Topp	books/crc/IIR2005/BeuthelGT05
Joo-Ho Lee	books/crc/IIR2005/LeeMH05
Kazuyuki Morioka	books/crc/IIR2005/LeeMH05
Hideki Hashimoto	books/crc/IIR2005/LeeMH05
Jan Blumenthal	books/crc/IIR2005/BlumenthalGHH05
Frank Golatowski	books/crc/IIR2005/BlumenthalGHH05
Marc Haase	books/crc/IIR2005/BlumenthalGHH05
Matthias Handy	books/crc/IIR2005/BlumenthalGHH05
Jiang B. Liu	books/crc/IIR2005/Liu05
Robert W. Brennan	books/crc/IIR2005/BrennancGKNL05
James H. Christensen	books/crc/IIR2005/BrennancGKNL05
William A. Gruver	books/crc/IIR2005/BrennancGKNL05
